Cluster	`__mclCluster`	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
1	1	GO:0002287	alpha-beta T cell activation involved in immune response	3/17	72/14419	7.720469750222461e-5	7.09409201577045e-4	2.9747192284869064e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0002293	alpha-beta T cell differentiation involved in immune response	3/17	72/14419	7.720469750222461e-5	7.09409201577045e-4	2.9747192284869064e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0002292	T cell differentiation involved in immune response	3/17	78/14419	9.805150768824497e-5	8.682015317122784e-4	3.64057272564967e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0050688	regulation of defense response to virus	3/17	78/14419	9.805150768824497e-5	8.682015317122784e-4	3.64057272564967e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0050870	positive regulation of T cell activation	4/17	216/14419	1.0001419113871316e-4	8.697662693670233e-4	3.647134037765104e-4	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:2000318	positive regulation of T-helper 17 type immune response	2/17	14/14419	1.1807412048522498e-4	0.0010088087136193784	4.2301716295722343e-4	IL12RB1/IL23R	2
1	1	GO:0051249	regulation of lymphocyte activation	5/17	444/14419	1.2325912446386323e-4	0.0010349516140327826	4.339794944825675e-4	FOXP3/IL12RB1/CD4/ZNF683/IL23R	5
1	1	GO:0032634	interleukin-5 production	2/17	15/14419	1.3614491026581787e-4	0.0010869273983516935	4.55774160337682e-4	FOXP3/TSLP	2
1	1	GO:0032674	regulation of interleukin-5 production	2/17	15/14419	1.3614491026581787e-4	0.0010869273983516935	4.55774160337682e-4	FOXP3/TSLP	2
1	1	GO:0090713	immunological memory process	2/17	15/14419	1.3614491026581787e-4	0.0010869273983516935	4.55774160337682e-4	IL12RB1/IL23R	2
1	1	GO:0043367	CD4-positive, alpha-beta T cell differentiation	3/17	88/14419	1.4040732923510733e-4	0.001102876924798343	4.6246217099509045e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0002456	T cell mediated immunity	3/17	89/14419	1.4519936888209443e-4	0.00112241416897746	4.7065459587512646e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:1903039	positive regulation of leukocyte cell-cell adhesion	4/17	239/14419	1.4782868583615915e-4	0.0011245712672475034	4.715591177910206e-4	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0042102	positive regulation of T cell proliferation	3/17	90/14419	1.5009678104946144e-4	0.0011245712672475034	4.715591177910206e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0072540	T-helper 17 cell lineage commitment	2/17	16/14419	1.5548630805360683e-4	0.0011473004851834322	4.810900121594853e-4	IL12RB1/IL23R	2
1	1	GO:0002708	positive regulation of lymphocyte mediated immunity	3/17	93/14419	1.6543162168302064e-4	0.0012024656680541949	5.042220676591675e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0032609	type II interferon production	3/17	94/14419	1.7076087610010704e-4	0.001205225313923944	5.05379251920988e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0032649	regulation of type II interferon production	3/17	94/14419	1.7076087610010704e-4	0.001205225313923944	5.05379251920988e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0002827	positive regulation of T-helper 1 type immune response	2/17	17/14419	1.760956463948379e-4	0.0012078673210462827	5.064871074959016e-4	IL12RB1/IL23R	2
1	1	GO:0032693	negative regulation of interleukin-10 production	2/17	17/14419	1.760956463948379e-4	0.0012078673210462827	5.064871074959016e-4	FOXP3/IL23R	2
1	1	GO:0042110	T cell activation	5/17	483/14419	1.8300765536797528e-4	0.001227574061764585	5.147506062516578e-4	FOXP3/IL12RB1/CD4/ZNF683/IL23R	5
1	1	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4/17	253/14419	1.840100749667653e-4	0.001227574061764585	5.147506062516578e-4	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0002286	T cell activation involved in immune response	3/17	97/14419	1.8741591385834446e-4	0.0012333993249866722	5.171932757968539e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0001916	positive regulation of T cell mediated cytotoxicity	2/17	18/14419	1.9797026173541514e-4	0.0012854868995352956	5.39034817918183e-4	IL12RB1/IL23R	2
1	1	GO:0002366	leukocyte activation involved in immune response	4/17	260/14419	2.0432608053399585e-4	0.001309300016053368	5.490202163932852e-4	FOXP3/IL12RB1/ZNF683/IL23R	4
1	1	GO:0002263	cell activation involved in immune response	4/17	264/14419	2.1663912999504695e-4	0.001357727687120155	5.693270751136066e-4	FOXP3/IL12RB1/ZNF683/IL23R	4
1	1	GO:0034341	response to type II interferon	3/17	102/14419	2.1745946528823836e-4	0.001357727687120155	5.693270751136066e-4	IFNGR1/IL12RB1/IL23R	3
1	1	GO:0045582	positive regulation of T cell differentiation	3/17	106/14419	2.4362325727018944e-4	0.0014945097922683887	6.26683021074392e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0002295	T-helper cell lineage commitment	2/17	20/14419	2.4550468866831846e-4	0.0014945097922683887	6.26683021074392e-4	IL12RB1/IL23R	2
1	1	GO:0035710	CD4-positive, alpha-beta T cell activation	3/17	109/14419	2.645296509457343e-4	0.0015904437038342296	6.669103610587714e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0045624	positive regulation of T-helper cell differentiation	2/17	21/14419	2.711591926084646e-4	0.0015919230346763678	6.675306791899175e-4	IL12RB1/IL23R	2
1	1	GO:0022409	positive regulation of cell-cell adhesion	4/17	280/14419	2.7131337141301544e-4	0.0015919230346763678	6.675306791899175e-4	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0051251	positive regulation of lymphocyte activation	4/17	287/14419	2.981158405724236e-4	0.0017283620756996464	7.247427703139121e-4	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0002705	positive regulation of leukocyte mediated immunity	3/17	114/14419	3.0189673884896694e-4	0.0017296907272876107	7.252999050984469e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0001914	regulation of T cell mediated cytotoxicity	2/17	23/14419	3.2622954141938695e-4	0.001847369612456296	7.746454227094378e-4	IL12RB1/IL23R	2
1	1	GO:0045621	positive regulation of lymphocyte differentiation	3/17	120/14419	3.510487220328158e-4	0.001965065834827371	8.239982102161678e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0042104	positive regulation of activated T cell proliferation	2/17	24/14419	3.556401019092773e-4	0.001968144654884296	8.252892317033469e-4	IL12RB1/IL23R	2
1	1	GO:0050671	positive regulation of lymphocyte proliferation	3/17	126/14419	4.050973889851363e-4	0.0022166564992782177	9.294960788068179e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0002230	positive regulation of defense response to virus by host	2/17	26/14419	0.00041819881311417213	0.0022455392902694968	9.416073107365882e-4	IL12RB1/IL23R	2
1	1	GO:0002697	regulation of immune effector process	4/17	314/14419	4.1959769078957746e-4	0.0022455392902694968	9.416073107365882e-4	FOXP3/IL12RB1/ZNF683/IL23R	4
1	1	GO:0032946	positive regulation of mononuclear cell proliferation	3/17	128/14419	4.2423656402214185e-4	0.0022456870291172075	9.416692611017795e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:1903037	regulation of leukocyte cell-cell adhesion	4/17	327/14419	4.892477380093579e-4	0.0025619747140920137	0.0010742961083623707	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0032635	interleukin-6 production	3/17	137/14419	5.175675011999353e-4	0.0026447216061134403	0.0011089938216492109	FOXP3/TSLP/IL17RC	3
1	1	GO:0032675	regulation of interleukin-6 production	3/17	137/14419	5.175675011999353e-4	0.0026447216061134403	0.0011089938216492109	FOXP3/TSLP/IL17RC	3
1	1	GO:0002825	regulation of T-helper 1 type immune response	2/17	29/14419	5.213414254350929e-4	0.0026447216061134403	0.0011089938216492109	IL12RB1/IL23R	2
1	1	GO:0009615	response to virus	4/17	335/14419	5.360180315678181e-4	0.0026911420760157467	0.0011284590138269856	FOXP3/IFNGR1/IL12RB1/IL23R	4
1	1	GO:0002706	regulation of lymphocyte mediated immunity	3/17	140/14419	5.513731499470451e-4	0.0027399869798388874	0.0011489408280314366	FOXP3/IL12RB1/IL23R	3
1	1	GO:0070665	positive regulation of leukocyte proliferation	3/17	142/14419	5.746796265000362e-4	0.002826959374803209	0.0011854103938437749	FOXP3/IL12RB1/IL23R	3
1	1	GO:0001913	T cell mediated cytotoxicity	2/17	31/14419	5.962756193441591e-4	0.002903862266206055	0.0012176575805554408	IL12RB1/IL23R	2
1	1	GO:0007159	leukocyte cell-cell adhesion	4/17	360/14419	7.028241818224563e-4	0.0033888651143320417	0.0014210306542319596	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	3/17	153/14419	7.141978855574793e-4	0.0034099448065342394	0.001429869863758008	TSLP/CD4/IL23R	3
1	1	GO:0032814	regulation of natural killer cell activation	2/17	35/14419	7.608639179746299e-4	0.0035974827966373277	0.0015085089431484742	ZNF683/IL23R	2
1	1	GO:0042129	regulation of T cell proliferation	3/17	157/14419	7.698315288316984e-4	0.003604884178279203	0.001511612516127019	FOXP3/IL12RB1/IL23R	3
1	1	GO:0050691	regulation of defense response to virus by host	2/17	36/14419	8.050624691333993e-4	0.003733956404456814	0.0015657355289411476	IL12RB1/IL23R	2
1	1	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	2/17	39/14419	9.449402053552941e-4	0.004221888807413103	0.0017703370336931636	IL12RB1/IL23R	2
1	1	GO:0010453	regulation of cell fate commitment	2/17	39/14419	9.449402053552941e-4	0.004221888807413103	0.0017703370336931636	IL12RB1/IL23R	2
1	1	GO:0032620	interleukin-17 production	2/17	39/14419	9.449402053552941e-4	0.004221888807413103	0.0017703370336931636	FOXP3/IL23R	2
1	1	GO:0032660	regulation of interleukin-17 production	2/17	39/14419	9.449402053552941e-4	0.004221888807413103	0.0017703370336931636	FOXP3/IL23R	2
1	1	GO:1904894	positive regulation of receptor signaling pathway via STAT	2/17	42/14419	0.0010956868679916723	0.004850904588290404	0.0020340981089988944	TSLP/IL23R	2
1	1	GO:0010720	positive regulation of cell development	4/17	412/14419	0.0011632734958906038	0.005103731463952469	0.002140114349955212	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0042088	T-helper 1 type immune response	2/17	44/14419	0.001202188638050876	0.00522737381009622	0.0021919604866717105	IL12RB1/IL23R	2
1	1	GO:0042098	T cell proliferation	3/17	187/14419	0.0012766267688839666	0.005501922446429131	0.0023070851715276154	FOXP3/IL12RB1/IL23R	3
1	1	GO:0019722	calcium-mediated signaling	3/17	188/14419	0.0012963829512413578	0.005538056993460888	0.0023222372349106504	CD4/ACKR2/PTGDR2	3
1	1	GO:0031343	positive regulation of cell killing	2/17	46/14419	0.0013134696840876132	0.005562258575223197	0.002332385525977089	IL12RB1/IL23R	2
1	1	GO:0022407	regulation of cell-cell adhesion	4/17	431/14419	0.001374870874314182	0.005722753126418861	0.002399684656922639	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0045785	positive regulation of cell adhesion	4/17	431/14419	0.001374870874314182	0.005722753126418861	0.002399684656922639	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0002703	regulation of leukocyte mediated immunity	3/17	194/14419	0.0014189941749813376	0.00585635731538908	0.002455708028067614	FOXP3/IL12RB1/IL23R	3
1	1	GO:0050829	defense response to Gram-negative bacterium	2/17	51/14419	0.0016124476750699625	0.006598840485370351	0.0027670486418714976	CD4/IL23R	2
1	1	GO:0050670	regulation of lymphocyte proliferation	3/17	206/14419	0.0016856613475554401	0.006840975635495828	0.002868581591453995	FOXP3/IL12RB1/IL23R	3
1	1	GO:0032944	regulation of mononuclear cell proliferation	3/17	209/14419	0.0017569067153559033	0.007071186532052272	0.0029651144217402808	FOXP3/IL12RB1/IL23R	3
1	1	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	3/17	211/14419	0.001805440599503795	0.007150501546912557	0.002998373068412485	TSLP/CD4/IL23R	3
1	1	GO:0002763	positive regulation of myeloid leukocyte differentiation	2/17	54/14419	0.0018059788301237052	0.007150501546912557	0.002998373068412485	CD4/IL23R	2
1	1	GO:0002699	positive regulation of immune effector process	3/17	214/14419	0.001879810387504634	0.007382803699312554	0.003095782811340399	FOXP3/IL12RB1/IL23R	3
1	1	GO:0001910	regulation of leukocyte mediated cytotoxicity	2/17	56/14419	0.0019408509326144063	0.007501542890342983	0.003145572940076816	IL12RB1/IL23R	2
1	1	GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	2/17	56/14419	0.0019408509326144063	0.007501542890342983	0.003145572940076816	TSLP/IL23R	2
1	1	GO:0032623	interleukin-2 production	2/17	58/14419	0.0020803806008806774	0.007915198067413202	0.0033190282612734494	FOXP3/CD4	2
1	1	GO:0032663	regulation of interleukin-2 production	2/17	58/14419	0.0020803806008806774	0.007915198067413202	0.0033190282612734494	FOXP3/CD4	2
1	1	GO:0070663	regulation of leukocyte proliferation	3/17	229/14419	0.002280494547679276	0.008609308873796958	0.003610085208076537	FOXP3/IL12RB1/IL23R	3
1	1	GO:0002449	lymphocyte mediated immunity	3/17	231/14419	0.002337623353676961	0.008757096717236	0.0036720561183265625	FOXP3/IL12RB1/IL23R	3
1	1	GO:0032729	positive regulation of type II interferon production	2/17	64/14419	0.0025267145354606574	0.009393205944804124	0.003938791642260888	IL12RB1/IL23R	2
1	1	GO:0042509	regulation of tyrosine phosphorylation of STAT protein	2/17	67/14419	0.0027653645830845635	0.010202519333046837	0.004278155734596534	TSLP/IL23R	2
1	1	GO:0031341	regulation of cell killing	2/17	68/14419	0.0028471918370789294	0.010425431764341644	0.0043716281471572	IL12RB1/IL23R	2
1	1	GO:0051607	defense response to virus	3/17	250/14419	0.002925302291306392	0.010552757154564541	0.004425018670670099	FOXP3/IL12RB1/IL23R	3
1	1	GO:0140546	defense response to symbiont	3/17	250/14419	0.002925302291306392	0.010552757154564541	0.004425018670670099	FOXP3/IL12RB1/IL23R	3
1	1	GO:0007260	tyrosine phosphorylation of STAT protein	2/17	70/14419	0.003014247371962611	0.010793665221660233	0.004526037075547574	TSLP/IL23R	2
1	1	GO:0018108	peptidyl-tyrosine phosphorylation	3/17	254/14419	0.0030596178067141674	0.010876159648684668	0.0045606289243376764	TSLP/CD4/IL23R	3
1	1	GO:0030101	natural killer cell activation	2/17	71/14419	0.003099470722239538	0.010937987258917791	0.004586554691948668	ZNF683/IL23R	2
1	1	GO:0018212	peptidyl-tyrosine modification	3/17	256/14419	0.0031281862390126723	0.01095990430503001	0.00459574502361574	TSLP/CD4/IL23R	3
1	1	GO:0046651	lymphocyte proliferation	3/17	260/14419	0.0032681668540688147	0.011368551842367949	0.004767100523980076	FOXP3/IL12RB1/IL23R	3
1	1	GO:0032943	mononuclear cell proliferation	3/17	266/14419	0.003485313188711161	0.012037925694342805	0.005047784685404742	FOXP3/IL12RB1/IL23R	3
1	1	GO:0045165	cell fate commitment	3/17	274/14419	0.003788416590173415	0.012992668164890515	0.005448130604104096	FOXP3/IL12RB1/IL23R	3
1	1	GO:0019932	second-messenger-mediated signaling	3/17	280/14419	0.0040260720634414885	0.013711168495776258	0.005749414650774007	CD4/ACKR2/PTGDR2	3
1	1	GO:1904892	regulation of receptor signaling pathway via STAT	2/17	84/14419	0.004309050655387086	0.014572969924816048	0.0061107882101249615	TSLP/IL23R	2
1	1	GO:0071346	cellular response to type II interferon	2/17	86/14419	0.004511705038839045	0.01515310588906631	0.00635405283146842	IFNGR1/IL12RB1	2
1	1	GO:0001909	leukocyte mediated cytotoxicity	2/17	87/14419	0.004614669401631914	0.015392767113662617	0.0064545484060316615	IL12RB1/IL23R	2
1	1	GO:0070661	leukocyte proliferation	3/17	297/14419	0.004748517918062383	0.015731484531267895	0.006596580566445416	FOXP3/IL12RB1/IL23R	3
1	1	GO:0032755	positive regulation of interleukin-6 production	2/17	92/14419	0.005145766954231378	0.016818714810138802	0.007052481731691187	TSLP/IL17RC	2
1	1	GO:0045639	positive regulation of myeloid cell differentiation	2/17	92/14419	0.005145766954231378	0.016818714810138802	0.007052481731691187	CD4/IL23R	2
1	1	GO:0002443	leukocyte mediated immunity	3/17	318/14419	0.005743902290875034	0.018648536104374277	0.007819768732840397	FOXP3/IL12RB1/IL23R	3
1	1	GO:1903900	regulation of viral life cycle	2/17	103/14419	0.00640847789170208	0.02066840220701267	0.00866674598110982	CD4/LAMP3	2
1	1	GO:0002761	regulation of myeloid leukocyte differentiation	2/17	107/14419	0.006899319223722728	0.022105055670743213	0.009269168486164884	CD4/IL23R	2
1	1	GO:0001906	cell killing	2/17	123/14419	0.00902775519017078	0.028735403775249475	0.01204942901199265	IL12RB1/IL23R	2
1	1	GO:0050792	regulation of viral process	2/17	124/14419	0.009169414707722097	0.028996785471822478	0.012159032490075784	CD4/LAMP3	2
1	1	GO:0006935	chemotaxis	3/17	395/14419	0.010426015922477706	0.032757869382236404	0.013736143218748218	ACKR2/IL17RC/PTGDR2	3
1	1	GO:0042330	taxis	3/17	397/14419	0.010570158161936712	0.03299786554399473	0.013836779240322011	ACKR2/IL17RC/PTGDR2	3
1	1	GO:0007259	receptor signaling pathway via JAK-STAT	2/17	135/14419	0.010793293932174645	0.03347983531827422	0.01403888047497071	TSLP/IL23R	2
1	1	GO:0032640	tumor necrosis factor production	2/17	139/14419	0.011413264882569297	0.034006763527773314	0.014259833836351503	FOXP3/IFNGR1	2
1	1	GO:0032680	regulation of tumor necrosis factor production	2/17	139/14419	0.011413264882569297	0.034006763527773314	0.014259833836351503	FOXP3/IFNGR1	2
1	1	GO:0002831	regulation of response to biotic stimulus	3/17	410/14419	0.011535759421602943	0.034006763527773314	0.014259833836351503	FOXP3/IL12RB1/IL23R	3
1	1	GO:0002517	T cell tolerance induction	1/17	10/14419	0.011731285980833506	0.034006763527773314	0.014259833836351503	FOXP3	1
1	1	GO:0002638	negative regulation of immunoglobulin production	1/17	10/14419	0.011731285980833506	0.034006763527773314	0.014259833836351503	FOXP3	1
